WorkgroupSize	Runtime	StandardDeviation
870	1425.35	143.619
871	1432.44	128.263
872	1403.71	128.274
873	1425.41	137.837
874	1325.85	322.138
875	431.997	7.71347
876	431.478	8.77787
877	464.064	8.736420000000001
878	509.987	60.2396
879	626.124	37.1128
880	489.617	92.65470000000001
881	428.422	5.98576
882	446.389	9.53037
883	467.048	3.90116
884	588.412	49.6185
885	630.812	23.9546
886	657.929	24.5541
887	1268.2	299.822
888	1363.95	95.6858
889	1431.98	123.178
890	1430.1	158.642
891	1386.07	95.6756
892	1397.89	133.542
893	1407.01	116.625
894	1472.99	187.752
895	1394.28	134.72
896	1328.36	150.332
897	1422.71	145.214
898	1435.4	157.558
899	1405.73	148.842
900	1379.69	142.202
901	1386.89	117.103
902	1392.9	123.133
903	1414.45	127.379
904	1353.79	131.921
905	1376.88	117.998
906	1383.67	114.576
907	1396.33	128.883
908	1381.09	116.4
909	1418.15	125.742
910	1405.92	135.177
911	1417.37	138.346
912	1348.91	94.8702
913	1392.26	131.483
914	1384.04	132.482
915	1412.8	122.388
916	1382.01	138.3
917	1401.05	133.1
918	1398.35	145.748
919	1398.85	139.469
920	1382.51	161.759
921	1381.74	127.579
922	1371.98	151.232
923	1414.14	114.589
924	1377.26	122.078
925	1380.18	109.299
926	1354.75	103.784
927	1358.7	117.064
928	1279.78	148.556
929	1344.41	84.23480000000001
930	1369.8	93.7948
931	1381.32	101.163
932	1348.79	93.2551
933	1360.91	113.197
934	1373.01	104.72
935	1363.05	108.074
936	1327.2	114.96
937	1364.85	101.407
938	1388.29	102.466
939	1387.18	108.283
940	1352.2	102.911
941	1348.39	85.494
942	1359.82	102.907
943	1360.34	103.406
944	1296.67	107.483
945	1343.59	107.877
946	1306.65	85.6036
947	1354.16	142.6
948	1362.77	140.466
949	1347.82	112.885
950	1366.43	132.693
951	1350.54	122.767
952	1376.29	140.015
953	1346.34	108.591
954	1330.55	126.249
955	1331.63	128.245
956	1337.6	123.195
957	1339.47	135.78
958	1340.11	134.178
959	1362.34	121.925
960	1283	141.933
961	1360.1	132.672
962	1364.94	131.28
963	1359.26	120.806
964	1352.7	147.712
965	1384.07	109.785
966	1354.61	117.698
967	1385.1	108.957
968	1335.01	128.349
969	1360.25	115.303
970	1378.07	128.862
971	1352.36	120.673
972	1342.32	131.311
973	1379.24	175.768
974	1369.62	183.412
975	1359.45	145.32
976	1292.29	174.552
977	1369.13	167.309
978	1356.92	155.294
979	1331.97	114.763
980	1321.62	117.57
981	1365.87	144.46
982	1318.56	136.453
983	1382	158.29
984	1353.1	177.157
985	1391.91	126.749
986	1351.86	130.193
987	1337.16	129.883
988	1347.98	132.266
989	1333.05	110.474
990	1356.67	143.086
991	1356.55	133.362
992	1265.6	125.796
993	1350.68	129.547
994	1340.04	114.547
995	1340.04	118
996	605.425	398.486
997	428.239	8.85615
998	466.723	56.7593
999	579.734	39.5741
1000	573.772	75.5104
1001	401.309	7.20921
1002	415.858	7.40265
1003	429.585	8.135910000000001
1004	546.289	63.4279
1005	593.776	32.4821
1006	612.9880000000001	24.815
1007	1159.73	346.419
1008	1272.78	171.337
1009	1287.75	103.321
1010	1340.46	131.629
1011	1342.47	137.623
1012	1305.71	111.691
1013	1307.78	115.8
1014	1299.35	90.4757
1015	1319.42	131.871
1016	1317.29	135.901
1017	1337.68	138.166
1018	1315.42	96.443
1019	1320.73	123.728
1020	1328.67	113.472
1021	1340.4	123.062
1022	1310.49	99.39449999999999
1023	1326.71	115.003
1024	1243.16	112.038
